item_id,section,critical,speakers,complement
t01_c1,term,y,s01|s02|s03|s04|s05|s06,
t01_c2,term,y,s01|s02|s03|s04|s05|s06,
t01_c3,term,y,s01|s02|s03|s04|s05|s06,
t02_c1,term,n,s01|s03|s05,s02|s04|s06
t02_c2,term,n,s01|s02|s04,s03|s05|s06
t02_c3,term,n,s01|s05|s06,s02|s03|s04
t03_c1,term,y,s01|s02|s03|s04|s05|s06,
t03_c2,term,y,s01|s02|s03|s04|s05|s06,
t03_c3,term,y,s01|s02|s03|s04|s05|s06,
t04_c1,term,n,s01|s03|s06,s02|s04|s05
t04_c2,term,n,s03|s05|s06,s01|s02|s04
t04_c3,term,n,s01|s02|s03,s04|s05|s06
t05_c1,term,n,s02|s03|s04,s01|s05|s06
t05_c2,term,n,s03|s04|s06,s01|s02|s05
t05_c3,term,n,s04|s05|s06,s01|s02|s03
t06_c1,term,n,s02|s04|s05,s01|s03|s06
t06_c2,term,n,s01|s02|s05,s03|s04|s06
t06_c3,term,n,s01|s05|s06,s02|s03|s04
t07_c1,term,n,s01|s03|s06,s02|s04|s05
t07_c2,term,n,s01|s02|s06,s03|s04|s05
t07_c3,term,n,s02|s04|s06,s01|s03|s05
t08_c1,term,n,s03|s04|s05,s01|s02|s06
t08_c2,term,n,s02|s03|s04,s01|s05|s06
t08_c3,term,n,s02|s04|s06,s01|s03|s05
t09_c1,term,n,s02|s03|s06,s01|s04|s05
t09_c2,term,n,s01|s04|s05,s02|s03|s06
t09_c3,term,n,s01|s02|s04,s03|s05|s06
t10_c1,term,y,s01|s02|s03|s04|s05|s06,
t10_c2,term,y,s01|s02|s03|s04|s05|s06,
t10_c3,term,y,s01|s02|s03|s04|s05|s06,
t11_c1,term,n,s01|s02|s06,s03|s04|s05
t11_c2,term,n,s02|s03|s05,s01|s04|s06
t11_c3,term,n,s01|s03|s05,s02|s04|s06
t12_c1,term,n,s01|s04|s06,s02|s03|s05
t12_c2,term,n,s02|s03|s04,s01|s05|s06
t12_c3,term,n,s02|s05|s06,s01|s03|s04
t13_c1,term,y,s01|s02|s03|s04|s05|s06,
t13_c2,term,y,s01|s02|s03|s04|s05|s06,
t13_c3,term,y,s01|s02|s03|s04|s05|s06,
t14_c1,term,n,s01|s03|s05,s02|s04|s06
t14_c2,term,n,s02|s05|s06,s01|s03|s04
t14_c3,term,n,s01|s04|s05,s02|s03|s06
t15_c1,term,n,s01|s04|s05,s02|s03|s06
t15_c2,term,n,s02|s04|s05,s01|s03|s06
t15_c3,term,n,s02|s05|s06,s01|s03|s04
t16_c1,term,n,s01|s02|s03,s04|s05|s06
t16_c2,term,n,s03|s04|s05,s01|s02|s06
t16_c3,term,n,s01|s02|s04,s03|s05|s06
t17_c1,term,n,s02|s05|s06,s01|s03|s04
t17_c2,term,n,s01|s04|s06,s02|s03|s05
t17_c3,term,n,s03|s05|s06,s01|s02|s04
t18_c1,term,n,s01|s03|s06,s02|s04|s05
t18_c2,term,n,s01|s02|s06,s03|s04|s05
t18_c3,term,n,s01|s02|s05,s03|s04|s06
t19_c1,term,n,s01|s03|s04,s02|s05|s06
t19_c2,term,n,s01|s03|s05,s02|s04|s06
t19_c3,term,n,s01|s04|s06,s02|s03|s05
t20_c1,term,n,s03|s04|s06,s01|s02|s05
t20_c2,term,n,s04|s05|s06,s01|s02|s03
t20_c3,term,n,s01|s04|s05,s02|s03|s06
t21_c1,term,n,s01|s02|s03,s04|s05|s06
t21_c2,term,n,s02|s04|s06,s01|s03|s05
t21_c3,term,n,s03|s04|s06,s01|s02|s05
t22_c1,term,n,s02|s03|s05,s01|s04|s06
t22_c2,term,n,s03|s04|s05,s01|s02|s06
t22_c3,term,n,s01|s05|s06,s02|s03|s04
t23_c1,term,n,s01|s02|s05,s03|s04|s06
t23_c2,term,n,s03|s05|s06,s01|s02|s04
