question_id,sentence,review_status
q01,Koliko smo do sada platili izvođačima na projektu Funtana?,frozen
q02,Jesmo li još uvijek u okviru proračuna za Tar?,frozen
q03,Koji računi dospijevaju ovaj tjedan?,frozen
q04,Ima li neplaćenih situacija od prošlog mjeseca?,frozen
q05,Kada ističe bankovna garancija za fasadu u Osijeku?,frozen
q06,Tko je glavni izvođač na gradilištu u Zagrebu?,frozen
q07,Koliko nam je još ostalo za ugovoriti na projektu Funtana?,frozen
q08,Jesu li svi aneksi ugovora za Samobor potpisani?,frozen
q09,"Koliko smo potrošili na zemljište, a koliko na izgradnju?",frozen
q10,Kasnimo li s rokovima na nekom projektu?,frozen
